The Black Box (Harry Bosch),by,Michael Connelly,2013-01-06,2013
Bad Blood: The Secret Life of the Tour De France,by,Jeremy Whittle,2013-01-19,2013
The Burglar in the Library,by,Lawrence Block,2013-01-24,2013
Light Fantastic: A Discworld Novel,by,Terry Pratchett,2013-01-29,2013
Unreliable Memoirs: Autobiography (Picador Books),by,Clive James,2013-02-09,2013
Sidetracked: Kurt Wallander,by,Henning Mankell,2013-02-17,2013
The Burglar in the Rye,by,Lawrence Block,2013-02-27,2013
2010: Odyssey Two,by,Arthur C. Clarke,2013-03-07,2013
The Burglar on the Prowl,by,Lawrence Block,2013-03-09,2013
One Step Behind: Kurt Wallander,by,Henning Mankell,2013-03-14,2013
Ubik (Panther Science Fiction),by,Philip K. Dick,2013-03-17,2013
Equal Rights,by,Terry Pratchett,2013-03-24,2013
Firewall: Kurt Wallander,by,Henning Mankell,2013-04-03,2013
Hercule Poirot - The Mysterious Affair at Styles- Murder on the Links- Poirot Investigates,by,Christie Agatha,2013-04-15,2013
The Hobbit,by,J. R. R. Tolkien,2013-05-03,2013
White Bones: 1 (Katie Maguire),by,Graham Masterton,2013-05-22,2013
Mort: (Discworld Novel 4),by,Terry Pratchett,2013-06-05,2013
Obsessive Compulsive Cycling Disorder,by,Dave Barter,2013-06-11,2013
Driving Over Lemons: An Optimist in Andalucia (Lemons Trilogy),by,Chris Stewart,2013-06-14,2013
A Is for Alibi: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries),by,Sue Grafton,2013-06-25,2013
Chronicler Of The Winds,by,Henning Mankell,2013-07-11,2013
Sourcery: (Discworld Novel 5),by,Terry Pratchett,2013-07-28,2013
Star Island,by,Carl Hiaasen,2013-08-12,2013
Wards of Faerie: The Dark Legacy of Shannara,by,Terry Brooks,2013-09-12,2013
The Perfect Kill,by,A. J. Quinnell,2013-09-30,2013
Wyrd Sisters: (Discworld Novel 6),by,Terry Pratchett,2013-10-18,2013
Three Ways to Capsize a Boat: An Optimist Afloat,by,Chris Stewart,2013-10-23,2013
Hunger: Sean Kelly: The Autobiography,by,Sean Kelly,2013-10-29,2013
Island Madness,by,Tim Binding,2013-11-25,2013
Eighty Eight,by,A L McAuley,2013-12-08,2013
The Gods of Guilt (Mickey Haller 5),by,Michael Connelly,2013-12-19,2013
Mulholland Dive: Three Stories (Harry Bosch),by,Michael Connelly,2013-12-23,2013
