Title,Author,Finished
Earthsea Quartet (Puffin Books) Book 1,Ursula K. Le Guin,2006-02-05
For Whom the Bell Tolls,Ernest Hemingway,2006-02-18
Earthsea Quartet (Puffin Books) Book 2,Ursula K. Le Guin,2006-03-30
Earthsea Quartet (Puffin Books) Book 3,Ursula K. Le Guin,2006-04-17
Earthsea Quartet (Puffin Books) Book 4,Ursula K. Le Guin,2006-05-02
The Closers,Michael Connelly,2006-05-22
Clear: A Transparent Novel,Nicola Barker,2006-06-06
Lets Go Play at the Adams,Mendal W. Johnson,2006-06-12
Void Moon,Michael Connelly,2006-06-21
The Lincoln Lawyer,Michael Connelly,2006-06-28
Sick Puppy,Carl Hiaasen,2006-07-16
Walking Ollie,Stephen Foster,2006-07-22
Skin Tight Duo,Carl Hiaasen,2006-08-08
The Bullet Trick,Louise Welsh,2006-08-21
If I Dont Write It Nobody Else Will,Eric Sykes,2006-10-10
Traitors Purse,Margery Allingham,2006-10-30
Rainbows End,Vernor Vinge,2006-12-18
Straken (High Druid of Shannara),Terry Brooks,2006-12-31
