Title,Author,Finished
Angel Fire East (Word & the Void),Terry Brooks,2007-01-23
Small Town: A Novel of New York,Lawrence Block,2007-02-15
The Winter of Our Discontent,John Steinbeck,2007-03-16
The Cell,Stephen King,2007-04-05
Death and the Penguin,Andreaei Kurkov,2007-04-21
Dead Sleep,Greg Iles,2007-05-14
The Kalahari Typing School for Men (No.1 Ladies Detective Agency),Alexander McCall Smith,2007-05-27
The Life and Times of the Thunderbolt Kid,Bill Bryson,2007-05-31
Dr Bloodmoney (Gollancz S.F.),Philip K. Dick,2007-06-06
Under Orders,Dick Francis,2007-06-12
Triptych,Karin Slaughter,2007-06-21
The Secret of Crickley Hall,James Herbert,2007-07-04
The Tenderness of Wolves,Stef Penney,2007-07-28
A Spot of Bother,Mark Haddon,2007-08-09
Judge and Jury,James Patterson,2007-08-16
The Vanishing,Tim Krabbe,2007-08-24
Liseys Story,Stephen King,2007-09-27
Armageddons Children (Genesis of Shannara),Terry Brooks,2007-10-25
The Surgeon,Tess Gerritsen,2007-10-25
Murphys Law,Colin Bateman,2007-11-05
The Elves of Cintra (Genesis of Shannara),Terry Brooks,2007-11-16
The Apprentice,Tess Gerritsen,2007-11-29
Echo Park,Michael Connelly,2007-12-11
Harry Potter and the Deathly Hallows (Book 7),J. K. Rowling,2007-12-28
Killing Johnny Fry,Walter Mosley,2007-12-30
