Title,Author,Finished
Thanks for Nothing,Jack Dee,2018-12-31
Please Mister Postman,Alan Johnson,2018-12-26
The Brooklyn Follies,Paul Auster,2018-12-22
Super-Cannes,J G Ballard,2018-12-10
A Happy Death,Albert Camus,2018-12-02
Wonder Boys,Michael Chabon,2018-11-28
Moon Palace,Paul Auster,2018-11-19
The Redeemer Harry Hole 6,Jo Nesbo,2018-11-10
The Dark Heart,Joakim Palmkvist,2018-11-01
The Adulterous Woman,Albert Camus,2018-10-12
The Vegetarian,Han Kang,2018-10-09
Fool Me Once,Harlan Coben,2018-09-28
A Drink Before the War,Dennis Lehane,2018-09-22
The Climb The Autobiography,Chris Froome,2018-09-15
The High Druids Blade The Defenders of Shannara,Terry Brooks,2018-09-02
Two Kinds of Truth,Michael Connelly,2018-08-23
Snow Crash,Neal Stephenson,2018-08-13
The Racketeer,John Grisham,2018-07-30
Holding,Graham Norton,2018-07-23
The Devils Star Harry Hole 5,Jo Nesbo,2018-07-14
A Moment Of War,Laurie Lee,2018-07-04
Men at Arms,Terry Pratchett,2018-06-26
Endurance A Year in Space A Life time of Discovery,Scott Kelly,2018-06-17
The Last Thing She Ever Did,Gregg Olesn,2018-06-07
A Full Life Reflections At Ninety,Jimmy Carter,2018-06-08
One Mile Deep,Solomon Carter,2018-05-29
Ready Player One,Ernest Cline,2018-05-25
As I Walked Out One Summer Morning,Laurie Lee,2018-05-16
Out with a Bang,Solomon Carter,2018-05-10
The Crow Girl,Eric Axl Sund,2018-05-07
Bicycle Diaries,David Byrne,2018-04-11
The 13th Valley,John M Del Vecchio,2018-04-04
Cider With Rosie,Laurie Lee,2018-02-27
End of Watch,Stephen King,2018-02-12
Re: Cyclists: 200 Years on Two Wheels,Michael Hutchison,2018-01-31
Sleepyhead,Mark Billingham,2018-01-14
