Title,Author,Finished
The Sinner,Tess Gerritsen,2008-01-15
Dead Until Dark: A Sookie Stackhouse Vampire Mystery,Charlaine Harris,2008-01-23
Scapegallows,Carol Birch,2008-02-11
Living Dead in Dallas: A Sookie Stackhouse Vampire Mystery,Charlaine Harris,2008-02-19
The Secret History,Donna Tartt,2008-03-11
Club Dead (Southern Vampire Mysteries Book 3),Charlaine Harris,2008-03-17
The Full Cupboard of Life (No.1 Ladies Detective Agency),Alexander McCall Smith,2008-04-02
Body Double,Tess Gerritsen,2008-04-09
In the Company of Cheerful Ladies (No 1 Ladies Detective Agency 6),Alexander McCall Smith,2008-04-19
Sex.Com,Kieren McCarthy,2008-04-26
The Good Husband of Zebra Drive,Alexander McCall Smith,2008-05-02
From Lance to Landis: Inside the American Doping Controversy at the Tour de France,David Walsh,2008-05-10
The Man in the High Castle,Philip K. Dick,2008-05-24
The Mermaids Singing,Val McDermid,2008-06-02
Skinny Dip,Carl Hiaasen,2008-06-12
The Memory Game,Nicci French,2008-06-29
Nature Girl,Carl Hiaasen,2008-07-08
Dark Wraith of Shannara,Terry Brooks,2008-07-18
The Real Heroes of Telemark: The True Story of the Secret Mission to Stop Hitlers Atomic Bomb,Raymond Mears,2008-07-22
Ulysses,James Joyce,2008-07-23
The Chameleons Shadow,Minette Walters,2008-08-23
The Rebels,Sandor Marai,2008-08-30
Special Topics in Calamity Physics,Marisha Pessl,2008-09-19
Hit Parade,Lawrence Block,2008-09-26
The Overlook,Michael Connelly,2008-09-28
Rook: Swimmer Bk. 5,Graham Masterton,2008-10-04
Remainder,Tom McCarthy,2008-10-16
Grotesque,Natsuo Kirino,2008-11-09
The Road,Cormac McCarthy,2008-11-12
Notes from a Big Country,Bill Bryson,2008-11-28
Dead To The World: A Sookie Stackhouse Vampire Mystery,Charlaine Harris,2008-12-05
The Private Patient. P.D. James (Adam Dalgliesh Mystery),P. D. James,2008-12-22
The Memory of Running,Ron McLarty,2008-12-30
