Title,Author,Finished
The Peachgrowers Almanac,Elaine Di Rollo,2010-01-15
Scat (Hardback),Carl Hiaasen,2010-01-19
Dead As A Doornail,Charlaine Harris,2010-01-24
Step on a Crack,James Patterson,2010-01-27
The Interpretation of Murder,Jed Rubenfeld,2010-02-13
Meltdown,Ben Elton,2010-03-02
The Quickie,James Patterson,2010-03-07
Definitely Dead,Charlaine Harris,2010-03-16
Trace,Patricia Cornwell,2010-03-29
Even Money,Dick Francis,2010-04-02
The Villa of Mysteries (Nic Costa),David Hewson,2010-04-19
All Together Dead: A True Blood Novel (Sookie Stackhouse Vampire 7),Charlaine Harris,2010-05-04
Darkest Fear,Harlan Coben,2010-05-11
The Sacred Cut (Nic Costa),David Hewson,2010-05-24
Arsene Lupin,Maurice Leblanc,2010-05-25
Under the Dome,Stephen King,2010-06-15
Dracula (Penguin Classics),Bram Stoker,2010-07-15
Breaking the Chain: Drugs and Cycling - The True Story,Willy Voet,2010-07-16
A Walk in the Woods,Bill Bryson,2010-07-22
Drop Shot,Harlan Coben,2010-07-30
Hitlist,Lawrence Block,2010-08-17
The Lizards Bite (Nic Costa),David Hewson,2010-09-29
Pandaemonium,Brookmyre Chris,2010-11-05
Fade Away,Harlan Coben,2010-11-14
Presumed Guilty,Tess Gerritsen,2010-11-26
Bearers of the Black Staff (Legends of Shannara),Terry Brooks,2010-12-29
Back Spin,Harlan Coben,2010-12-29
