Title,Author,Finished
The Ghost,Robert Harris,2009-01-07
Heft on Wheels: A Field Guide to Doing a 180,Mike Magnuson,2009-01-15
Along Came Dylan: Twos a Crowd When Youve Been Top Dog,Stephen Foster,2009-01-24
Delay,Tim Krabbe,2009-02-09
Whistleblower,Tess Gerritsen,2009-02-21
Deal Breaker (Myron Bolitar Mysteries),Harlan Coben,2009-02-28
The White Lioness,Henning Mankell,2009-03-24
Man On Fire,A. J. Quinnell,2009-03-31
The Even,Tammy Moore,2009-04-17
The Burglar on the Prowl,Lawrence Block,2009-04-26
Depths,Henning Mankell,2009-05-13
So He Takes the Dog,Jonathan Buckley,2009-06-03
Shifting Skin (Detective Jon Spicer Thrillers),Chris Simms,2009-06-17
The Brass Verdict,Michael Connelly,2009-06-25
The Torrents of Spring,Ernest Hemingway,2009-07-01
All That Remains,Patricia Cornwell,2009-07-19
The Wayward Bus,John Steinbeck,2009-08-05
Just One Look,Harlan Coben,2009-08-15
An Unsung Hero,Michael W. Smith,2009-09-05
A Season for the Dead,David Hewson,2009-09-15
Kennedys Brain,Henning Mankell,2009-09-25
Loneliness of the Long Distance Runner,Alan Sillitoe,2009-10-02
The Invisible Man,H G Wells,2009-10-16
The First King of Shannara (Prequel to the Shannara Series),Terry Brooks,2009-11-04
The Voyage of the Jerle Shannara: Antrax Bk.2 (The Voyage of the Jerle Shannara),Terry Brooks,2009-11-04
Jarka Ruus (High Druid of Shannara S.),Terry Brooks,2009-11-04
Chasing the Dime,Michael Connelly,2009-11-04
The Black Ice,Michael Connelly,2009-11-04
Put Me Back on My Bike: In Search of Tom Simpson,William Fotheringham,2009-11-04
Lucky You,Carl Hiaasen,2009-11-04
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2009-11-04
Sweet Thursday,John Steinbeck,2009-11-04
My Name Is Red,Orhan Pamuk,2009-12-06
A Princess of Landover,Terry Brooks,2009-12-22
The Eyes of the Dragon,Stephen King,2009-12-31
