Title,Author,Finished
The Girl who Loved Tom Gordon,Stephen King,2016-12-18
The Wrong Side of Goodbye,Michael Connelly,2016-12-10
Lords and Ladies,Terry Pratchett,2016-12-03
Snap Shot,A. J. Quinnell,2016-11-25
The Glass Room,Ann Cleeves,2016-11-11
Borderline (Hard Case Crime Novels),Lawrence Block,2016-01-08
Northern Lights,Philip Pullman,2016-01-19
The Subtle Knife,Philip Pullman,2016-01-29
The Amber Spyglass,Philip Pullman,2016-02-19
Shift (Wool Trilogy 2),Hugh Howey,2016-03-02
The Tummor: A Non-Legal Thriller,John Grisham,2016-03-02
A Lesson in Dying,Ann Cleeves,2016-03-02
Witches Abroad,Terry Pratchett,2016-03-25
The Bone Clocks,David Mitchell,2016-04-22
The Blue Ring,A. J. Quinnell,2016-05-12
Small Gods,Terry Pratchett,2016-06-07
Guy Martin My Autobiography,Guy Martin,2016-06-11
A Captian's Duty,Richard Phillips,2016-06-18
Dust (Wool Trilogy 3),Hugh Howey,2016-06-18
Elantris,Brandon Sanderson,2016-07-06
Field of Graves,J.T. Ellison,2016-08-15
Seveneves,Neal Stephenson,2016-10-18
The Girl With the Deep Blue Eyes,Lawrence Block,2016-10-26
