Title,Author,Finished
The Black Box (Harry Bosch),Michael Connelly,2013-01-06
Bad Blood: The Secret Life of the Tour De France,Jeremy Whittle,2013-01-19
The Burglar in the Library,Lawrence Block,2013-01-24
Light Fantastic: A Discworld Novel,Terry Pratchett,2013-01-29
Unreliable Memoirs: Autobiography (Picador Books),Clive James,2013-02-09
Sidetracked: Kurt Wallander,Henning Mankell,2013-02-17
The Burglar in the Rye,Lawrence Block,2013-02-27
2010: Odyssey Two,Arthur C. Clarke,2013-03-07
The Burglar on the Prowl,Lawrence Block,2013-03-09
One Step Behind: Kurt Wallander,Henning Mankell,2013-03-14
Ubik (Panther Science Fiction),Philip K. Dick,2013-03-17
Equal Rights,Terry Pratchett,2013-03-24
Firewall: Kurt Wallander,Henning Mankell,2013-04-03
Hercule Poirot - The Mysterious Affair at Styles- Murder on the Links- Poirot Investigates,Christie Agatha,2013-04-15
The Hobbit,J. R. R. Tolkien,2013-05-03
White Bones: 1 (Katie Maguire),Graham Masterton,2013-05-22
Mort: (Discworld Novel 4),Terry Pratchett,2013-06-05
Obsessive Compulsive Cycling Disorder,Dave Barter,2013-06-11
Driving Over Lemons: An Optimist in Andalucia (Lemons Trilogy),Chris Stewart,2013-06-14
A Is for Alibi: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries),Sue Grafton,2013-06-25
Chronicler Of The Winds,Henning Mankell,2013-07-11
Sourcery: (Discworld Novel 5),Terry Pratchett,2013-07-28
Star Island,Carl Hiaasen,2013-08-12
Wards of Faerie: The Dark Legacy of Shannara,Terry Brooks,2013-09-12
The Perfect Kill,A. J. Quinnell,2013-09-30
Wyrd Sisters: (Discworld Novel 6),Terry Pratchett,2013-10-18
Three Ways to Capsize a Boat: An Optimist Afloat,Chris Stewart,2013-10-23
Hunger: Sean Kelly: The Autobiography,Sean Kelly,2013-10-29
Island Madness,Tim Binding,2013-11-25
Eighty Eight,A L McAuley,2013-12-08
The Gods of Guilt (Mickey Haller 5),Michael Connelly,2013-12-19
Mulholland Dive: Three Stories (Harry Bosch),Michael Connelly,2013-12-23
