Title,Author,Finished
The Burglar Who Counted The Spoons,Lawrence Block,2015-01-06
No Time For Goodbye,Linwood Barclay,2015-01-14
Guards! Guards!: (Discworld Novel 8),Terry Pratchett,2015-01-29
The Almond Blossom Appreciation Society (Lemons Trilogy Book 3),Chris Stewart,2015-02-01
Bradley Wiggins: My Story,Bradley Wiggins,2015-02-01
Telling Tales (Vera Stanhope Book 2),Ann Cleeves,2015-02-13
Fathomless Riches: Or How I Went From Pop to Pulpit,Richard Coles,2015-02-25
The Poisonwood Bible,Barbara Kingsolver,2015-03-26
Live Wire (Myron Bolitar Book 10),Harlan Coben,2015-04-03
Eric (Discworld Book 9),Terry Pratchett,2015-04-09
The Burning Room (Harry Bosch Book 19),Michael Connelly,2015-04-17
The Redbreast: A Harry Hole Thriller (Oslo Sequence 1),Jo Nesbo,2015-05-02
To Kill A Mockingbird,Harper Lee,2015-05-09
Wise Mans Fear (The Kingkiller Chronicle): 2,Patrick Rothfuss,2015-06-01
The Woods,Harlan Coben,2015-06-23
Moving Pictures: (Discworld Novel 10),Terry Pratchett,2015-06-23
How I Won the Yellow Jumper: Dispatches from the Tour de France,Ned Boulting,2015-06-28
Tell No One,Harlan Coben,2015-07-02
Shutter Island,Dennis Lehane,2015-07-16
Boston Noir (Akashic Noir),Dennis Lehane,2015-08-04
Wool (Wool Trilogy 1),Hugh Howey,2015-08-24
At Home: A Short History of Private Life,Bill Bryson,2015-09-09
Last Days of the Bus Club: From the Author of Driving Over Lemons,Chris Stewart,2015-09-09
Hidden Depths (Vera Stanhope Book 3),Ann Cleeves,2015-10-09
Reaper Man: (Discworld Novel 11),Terry Pratchett,2015-10-17
Nemesis: A Harry Hole Thriller (Oslo Sequence 2),Jo Nesbo,2015-11-16
We Were Young and Carefree: The Autobiography of Laurent Fignon,Fignon Laurent,2015-12-05
The Crossing (Harry Bosch 20),Michael Connelly,2015-12-22
The Stranger,Harlan Coben,2015-12-29
